SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1550965014,-2.204058,-0.108939,0.402427,-0.778726,-0.948332,4.119146,0.498565,0.489121,-3.876979,0
1550998348,-2.47656,-0.470755,-0.009168,-1.774517,-1.231274,3.343028,-0.978198,-0.865466,-5.885093,0
1551031682,-1.107977,0.448916,-1.427986,-2.850891,-1.161707,2.382032,-1.774924,-0.835932,-5.199341,0
1551065016,0.16162,0.532546,-0.541197,-3.427107,-0.197938,0.619955,-1.200332,-0.28176,-4.65056,0
1551098350,0.618204,0.355364,-0.002903,-2.856652,-0.395144,-0.649605,-0.324596,0.986629,-5.022251,0
1551131684,1.382521,0.3003,0.0478,-2.514205,0.005082,-1.49796,2.482291,1.310763,-5.295237,0
1551165018,1.231204,0.000646,-0.067179,-0.736865,0.337706,-2.662022,4.642086,1.913263,-4.880163,0
1551198352,0.623089,-0.334835,-0.012496,0.511894,0.685018,-2.689565,8.820151,0.39824,-5.135094,0
1551231686,0.364884,0.040594,-0.126346,0.779948,0.055189,-2.581244,8.837154,-0.821176,-5.251159,0
1551265020,-0.078653,0.081146,0.112577,1.818917,0.152866,-2.202299,9.387393,1.414377,-4.234984,0
1551298354,-0.169787,0.048424,-0.388874,1.881393,-0.112238,-2.242699,7.412671,0.121281,-4.76124,0
1551331688,-0.325665,0.215985,-0.081292,2.458935,0.191237,-2.315244,3.679426,0.063977,-4.39004,0
1551365022,-0.595432,0.889481,0.166006,4.829327,1.440234,-2.707365,-0.461775,0.432215,-2.970857,0
1551398356,-0.565338,0.64746,-0.21085,3.585374,-0.273964,-5.067599,-2.962404,-0.524609,0.251073,0
1551431690,0.437226,0.525132,-0.314852,2.861875,1.411796,-5.025578,-4.794382,-0.328965,1.391764,0
1551465024,0.077363,0.716864,0.123681,0.237005,0.908504,-5.385533,-9.72809,-0.136647,2.90894,0
1551498358,0.293568,-0.42933,0.330852,-2.20792,-0.037241,-6.065483,-10.176217,-0.851686,4.021145,0
1551531692,0.708115,-0.511208,-0.424353,-6.48412,-3.375262,-4.999924,-8.926578,-0.173609,3.26308,0
1551565026,0.783015,-0.461329,0.288452,-9.267568,-5.735324,-3.564481,-7.986235,0.922389,1.443393,0
1551598360,0.26601,-0.096909,0.748495,-6.3593,-5.20648,-2.209853,-5.616703,0.65279,-0.319739,0
