Wrist_Acc_X,Wrist_Acc_Y,Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
0.138626,-0.030559,0.565087,3.269715,2.927202,2.089818,1
-0.153666,-0.043233,0.36587,2.532823,1.827869,0.872998,1
-0.334523,-0.254134,-0.20669,-0.154563,-1.227504,-0.839454,1
-0.16373,0.024747,-0.498295,-1.788299,-1.354402,0.249101,1
0.008762,0.141658,-0.15655,-1.143441,0.281685,-0.284556,1
0.105453,-0.005472,0.237,-0.296416,0.282411,-0.052148,1
0.058676,-0.252505,0.281651,0.525176,0.225381,0.700614,1
-0.151285,-0.482549,0.291786,0.900342,0.140907,0.221391,1
-0.190753,-0.379618,0.250794,0.024029,-0.396567,-0.039685,1
-0.092926,-0.16746,0.266807,-0.484027,-0.180682,0.082081,1
-0.080116,-0.031921,0.3866,-0.32657,0.089473,0.065999,1
-0.02517,-0.03983,0.371869,0.264198,0.239662,0.197736,1
-0.053554,-0.147585,0.301698,0.219673,0.005573,0.188409,1
-0.123829,-0.129105,0.238683,0.215445,-0.047236,0.161542,1
-0.083444,-0.031121,0.163342,-0.003395,-0.000979,0.085602,1
-0.061267,0.023941,0.076625,-0.191539,0.129241,0.111171,1
-0.077187,0.097012,0.073216,-0.071496,0.029354,0.107045,1
-0.113603,0.152287,0.059729,0.151442,0.025093,0.057276,1
-0.049704,0.155306,-0.027314,0.053133,-0.044999,0.147817,1
-0.086949,0.179247,-0.023586,0.036704,0.142324,0.167836,1
-0.039421,0.208001,0.016951,0.012342,0.080543,0.05011,1
0.015258,0.222933,0.000154,-0.002033,0.095561,0.118539,1
-0.00011,0.189414,0.004754,0.047298,0.042431,0.155746,1
,,,0.002843,0.116379,0.048636,1
-0.277905,-0.437596,0.172461,0.174895,-0.009394,0.075212,2
-0.317904,-0.271949,0.06533,0.123041,0.044942,0.102756,2
-0.322788,-0.115372,0.070686,-0.018653,0.164036,0.111642,2
-0.387413,0.026785,0.136553,0.172204,0.118135,0.092919,2
-0.384223,0.133783,0.166961,-0.019011,0.057909,0.088588,2
-0.301865,0.131371,0.127555,-0.268759,-0.004316,0.168015,2
-0.312138,0.118136,0.080206,0.186825,-0.108005,0.091889,2
-0.283807,0.117104,-0.01766,0.141148,-0.019989,0.082716,2
-0.23523,0.113506,-0.046063,-0.012724,-0.05303,0.16292,2
-0.144023,0.103568,-0.060394,0.229367,-0.057159,0.080063,2
-0.038063,0.104949,0.00186,0.000815,-0.006429,0.118681,2
0.052339,0.068118,0.040854,-0.075377,0.076303,0.166228,2
0.189806,0.042544,0.091401,0.137416,0.023075,0.082262,2
0.32697,0.102285,0.075364,0.029085,-0.045345,0.087739,2
0.32533,-0.031394,-0.098459,-0.068969,-0.074757,0.179112,2
0.258114,-0.200728,-0.278373,0.16356,-0.039537,0.13307,2
0.30024,-0.082996,-0.297753,0.257363,0.027774,0.091883,2
0.343269,0.008409,-0.247657,0.172539,-0.069351,0.114076,2
0.342081,0.024128,-0.222589,0.286974,-0.090438,-0.037513,2
0.397237,-0.031006,0.01582,-0.31425,0.424779,0.126954,2
0.544656,-0.095647,0.428867,-1.278772,0.915367,0.558749,2
0.446023,-0.057521,0.737748,-0.69942,0.619042,0.142521,2
0.326592,-0.159483,0.449867,-0.20536,0.083538,-0.031791,2
0.195718,-0.278294,0.037842,-0.047399,-0.414523,0.00293,2
0.078921,-0.35562,-0.296375,-0.437204,-0.013146,0.092889,2
-0.040562,-0.313556,-0.445633,-0.104752,0.021026,0.129569,2
-0.052875,-0.299879,-0.458617,0.530445,-0.24653,0.060097,2
-0.004883,-0.23567,-0.307308,0.011778,-0.067325,0.229003,2
0.170691,-0.158293,-0.035407,-0.227476,0.151689,0.194642,2
0.254931,-0.287216,0.018264,-0.354869,-0.047499,0.095961,2
0.216662,-0.620829,0.057467,-0.22248,-0.44043,0.101601,2
0.214423,-0.756292,0.216535,-0.217098,0.053905,0.131271,2
0.094445,-0.619792,0.397991,-0.115465,0.578256,0.202935,2
-0.017572,-0.441183,0.445135,0.023396,0.565782,0.099004,2
-0.044842,-0.289842,0.336517,-0.194002,0.298177,0.130547,2
-0.071673,-0.196732,0.311221,-0.412372,0.196425,0.15011,2
0.015927,-0.189899,0.298364,-0.259588,0.165826,0.079012,2
0.133004,-0.24089,0.316574,-0.240238,0.082001,0.095161,2
0.168157,-0.331738,0.349716,-0.180734,-0.00072,0.15174,2
