Wrist_Acc_X,Wrist_Acc_Y,Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
0.227326,0.403149,-0.059921,0.456514,0.640555,0.252002,2
0.290536,0.444121,-0.123507,0.292248,0.307136,0.250857,2
0.358726,0.426893,-0.166344,0.104436,0.074949,0.189348,2
0.450694,0.445458,-0.221122,-0.036657,-0.015438,0.093696,2
0.50587,0.481097,-0.192777,-0.271471,-0.131322,-0.015967,2
0.477659,0.578711,-0.239819,-0.245269,-0.266961,0.148186,2
0.502649,0.368994,-0.205091,-0.159081,-0.079947,0.165775,2
0.364201,0.764299,-0.403386,-0.163371,-0.009561,0.043874,2
0.351218,0.164629,-0.044523,-0.019013,-0.165653,0.162679,2
0.139168,0.083651,-0.009858,-0.004927,-0.208504,0.159984,2
0.018428,0.104117,0.018739,-0.145634,-0.037602,0.083615,2
-0.067284,-0.0186,0.026515,-0.174683,-0.003619,0.162971,2
-0.102856,-0.047743,0.088881,-0.238752,-0.094227,0.140746,2
-0.181623,-0.060083,0.184584,-0.304343,0.038441,0.127753,2
-0.262289,-0.181941,0.215762,-0.185948,0.058731,0.145256,2
-0.166768,-0.192986,0.106872,-0.30028,-0.034157,0.086848,2
-0.197646,-0.255499,0.061345,-0.210649,-0.061288,0.083912,2
-0.19469,-0.311983,-0.004071,-0.235829,0.047155,0.136239,2
-0.122594,-0.384396,-0.088661,-0.221668,-0.054228,0.14672,2
-0.043744,-0.42061,-0.073859,-0.175452,0.035569,0.104196,2
0.031534,-0.437357,0.016,-0.044674,0.061236,0.160828,2
0.074519,-0.444742,-0.008674,-0.064765,0.130208,0.093034,2
0.065673,-0.393845,-0.064693,-0.033911,0.183521,0.157656,2
0.039546,-0.337963,-0.096826,0.048632,0.357845,0.223896,2
0.077662,-0.237652,-0.088991,0.083743,0.353226,0.189181,2
0.073679,-0.183864,-0.071458,0.008618,0.191925,0.171257,2
0.118155,-0.088296,-0.054185,0.00113,-0.045822,0.136966,2
0.198207,0.014511,-0.045542,-0.181053,-0.152886,0.069087,2
0.202682,0.130087,-0.013402,-0.37053,-0.123858,0.075185,2
0.205128,0.154468,0.02122,-0.361204,-0.153877,0.06176,2
0.230535,0.274739,-0.026518,-0.299433,-0.222663,0.108631,2
0.235966,0.339956,-0.047815,-0.267272,-0.219329,0.096126,2
0.228698,0.259862,-0.02028,-0.151652,-0.115824,0.134626,2
0.224959,0.340904,-0.083221,-0.114592,0.044162,0.138301,2
0.153671,0.227627,-0.048104,-0.08638,-0.011076,0.134286,2
0.12698,0.161281,-0.022905,-0.07839,-0.007833,0.164295,2
0.06685,0.161431,-0.023182,0.024511,0.203722,0.217883,2
0.08225,0.119484,-0.068401,0.112354,0.44578,0.224669,2
-0.009082,-0.129139,0.060912,0.094949,0.001675,0.245352,2
0.033993,-0.422356,0.109062,-0.003121,-0.151412,0.086663,2
0.196537,0.090381,-0.062053,-0.165693,-0.278861,0.039289,2
0.048147,-0.307837,0.250122,-0.207542,-0.253531,0.099669,2
0.325341,-0.314571,0.013316,-0.272638,-0.256182,0.117226,2
0.296418,0.412225,-0.193478,-0.219922,-0.410063,0.048966,2
0.160796,0.03711,0.045701,-0.156308,-0.550694,-0.02806,2
0.145291,0.221331,-0.14526,-0.214986,-0.516472,0.122235,2
0.057837,0.410769,-0.199244,-0.162901,-0.226923,0.141378,2
-0.000821,0.338239,-0.189095,-0.053979,0.058515,0.10999,2
-0.005533,0.647197,-0.265019,0.129092,0.444525,0.207853,2
-0.006861,0.711431,-0.117588,0.299868,0.694488,0.363569,2
-0.111148,0.320593,0.083552,0.338649,0.654949,0.233076,2
-0.302124,-0.21442,0.279596,0.201562,0.347257,0.171751,2
-0.438813,-0.490626,0.395121,0.018932,0.095671,0.152831,2
-0.206497,0.154277,0.006558,-0.162852,-0.064121,0.147965,2
-0.044425,0.398699,-0.141325,-0.226862,-0.079437,0.129025,2
-0.010271,0.204942,-0.124854,-0.160038,-0.066478,0.204455,2
0.086536,0.206671,-0.124518,0.09487,-0.06288,0.079683,2
0.143574,0.138312,-0.077838,-0.073464,0.019323,0.116503,2
0.159944,0.094528,-0.103006,-0.003762,-0.003234,0.187383,2
0.220452,-0.042906,-0.015856,-0.188344,0.047197,0.147551,2
0.219424,-0.06588,-0.049149,-0.235499,0.014302,0.238647,2
0.161042,-0.094908,-0.143523,-0.102509,-0.03188,0.113508,2
0.113956,-0.119241,-0.172405,-0.050767,0.0134,0.046697,2
0.09321,-0.130357,-0.133914,-0.048711,-0.173371,0.02871,2
0.089487,-0.166975,-0.073403,-0.195297,-0.166492,0.167514,2
0.105577,-0.157288,0.078157,-0.035424,0.012156,0.150059,2
0.021969,-0.186502,0.067132,-0.052377,0.14619,0.101775,2
-0.01863,-0.137962,-0.013715,-0.016832,0.032281,0.130602,2
-0.111788,-0.11644,-0.007815,-0.019515,-0.061992,0.173212,2
-0.111601,-0.093763,0.00623,0.207403,0.142096,0.077096,2
-0.104195,-0.04275,-0.013055,0.066696,0.281305,0.072516,2
-0.016458,-0.031414,0.00885,-0.051954,-0.229738,0.347809,2
-0.068515,0.042033,0.091302,-0.139789,-0.263942,-0.01246,2
0.012926,0.107664,0.086828,-0.069484,0.064767,0.078548,2
0.022786,0.188646,0.03511,-0.06946,0.173783,0.142701,2
-0.099658,0.361869,-0.05469,-0.025918,0.111321,0.053102,2
0.053476,0.321113,-0.12713,-0.118394,-0.173822,0.214846,2
0.052025,0.346238,-0.022462,-0.014416,0.117275,0.147411,2
0.030014,0.398164,0.074672,0.014097,0.630273,0.23275,2
-0.017058,0.268992,-1e-05,0.07427,0.317816,0.123183,2
-0.030173,0.116681,-0.171942,0.252669,-0.122328,-0.023787,2
-0.062873,0.197282,-0.245399,-0.062485,0.091927,0.144881,2
