Wrist_Acc_X,Wrist_Acc_Y,Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.274015,-0.061958,0.106014,0.122472,0.256869,0.076558,2
-0.294916,-0.01788,-0.00588,-0.08547,0.236761,0.010406,2
-0.243971,0.005711,0.02341,-0.076642,0.05534,-0.012761,2
-0.159802,-0.000909,0.139055,0.231424,-0.337451,0.08046,2
-0.088308,0.009956,0.227562,0.429329,-0.263108,0.225731,2
-0.038984,0.020059,0.197593,0.436502,-0.005645,0.260307,2
-0.010709,-0.003484,0.120227,0.298008,-0.169106,0.196896,2
0.062961,-0.046884,0.065373,0.079022,-0.097742,-0.010888,2
0.082996,-0.039806,-0.012704,0.061138,-0.195045,0.044659,2
0.050624,0.059567,-0.076813,0.197437,-0.126626,0.091477,2
-0.000155,0.195028,-0.036235,0.293481,0.173793,0.315381,2
-0.074157,0.208401,-0.008978,0.034969,0.241774,0.269665,2
-0.100481,0.177212,-0.031898,-0.048506,0.323802,0.157302,2
-0.079748,0.122926,-0.072911,0.12103,0.224341,0.192394,2
-0.105503,0.053688,-0.085337,0.058168,-0.083132,0.1345,2
-0.087519,0.034099,-0.019019,-0.127734,-0.190454,0.125375,2
-0.138622,0.001037,0.07899,-0.211931,0.092797,0.110628,2
-0.133116,-0.075624,0.144645,-0.036883,0.257235,0.07135,2
-0.160664,-0.127227,0.204974,0.248792,0.424076,0.160852,2
-0.178941,-0.149908,0.216392,0.162269,0.522414,0.270059,2
-0.137757,-0.213254,0.214592,0.053165,0.390752,0.112531,2
-0.126801,-0.315837,0.090281,-0.127571,0.210653,0.043106,2
-0.073834,-0.442885,-0.079241,-0.174275,0.00747,0.06827,2
-0.035586,-0.53211,-0.129792,-0.056819,0.2557,0.047528,2
0.054831,-0.48197,0.025868,-0.055486,0.172051,0.189835,2
0.078225,-0.459257,0.187969,0.075124,0.246999,0.020838,2
0.060732,-0.397742,0.13456,0.043391,0.122301,0.346048,2
0.16439,-0.38525,0.164858,-0.158885,0.082804,0.076508,2
0.215518,-0.440183,0.163037,0.012799,-0.122235,0.093087,2
0.294535,-0.49847,0.134153,-0.113371,-0.075335,0.10334,2
0.33088,-0.511262,0.102995,-0.167005,0.126881,0.215525,2
0.353817,-0.452253,0.092937,-0.142003,-0.146852,0.094908,2
0.330983,-0.304074,0.121066,-0.114794,-0.22657,0.092864,2
0.298663,-0.225803,0.110742,-0.119306,-0.039944,0.186655,2
0.307961,-0.192353,-0.000302,-0.355806,-0.203892,0.01185,2
0.331852,-0.196445,-0.001478,-0.377646,-0.149578,0.064715,2
0.312885,-0.15528,0.054544,-0.174758,0.132745,0.200739,2
0.278894,-0.082226,0.070952,-0.037749,0.122665,0.081134,2
0.266353,-0.017293,0.213981,-0.238444,0.150219,0.113015,2
0.214327,0.060917,0.146392,-0.280879,0.126649,0.072583,2
0.206703,0.076945,0.083263,-0.230231,-0.199978,0.085472,2
0.219594,0.043451,0.006463,-0.187505,-0.164332,0.123715,2
0.236533,-0.036609,-0.020731,0.0318,-0.019211,0.140301,2
0.20793,-0.075631,-0.011222,0.063537,0.11943,0.12817,2
0.142782,-0.067305,0.001331,0.062425,0.143759,0.255345,2
0.109244,-0.15641,0.05709,0.044656,0.063391,0.165782,2
0.072668,-0.23058,0.126606,-0.032847,-0.123588,0.042886,2
0.007053,-0.289439,0.205245,-0.08277,-0.134401,0.190965,2
-0.040539,-0.281548,0.202086,-0.075039,-0.194561,0.058702,2
-0.119231,-0.254935,0.12666,0.009957,-0.12115,0.072902,2
-0.100771,-0.208461,0.194187,0.123429,-0.186682,0.264326,2
-0.080513,-0.196388,0.179493,0.00478,-0.165825,0.083494,2
-0.017842,-0.196427,0.146801,-0.06923,-0.111988,0.061786,2
-0.018064,-0.076561,0.144876,0.051015,0.023822,0.395753,2
0.016987,-0.010592,0.138882,0.118609,-0.136689,0.203411,2
0.09036,0.052451,0.150072,-0.126791,-0.110757,0.240227,2
0.150518,0.127757,0.065115,-0.376801,0.197852,0.066375,2
0.199888,0.139638,0.035535,-0.252574,0.125964,0.12414,2
0.194015,0.165082,0.032673,-0.038538,-0.041464,0.122012,2
0.311337,0.200156,0.059721,-0.269747,-0.25458,0.145226,2
0.322335,0.191965,0.19451,-0.445117,0.007793,-0.079993,2
0.282724,0.265257,0.258366,-0.45059,0.181278,0.040727,2
0.306594,0.307938,-0.041392,-0.245277,-0.139501,0.061226,2
0.410705,0.34952,-0.210353,0.235771,-0.188817,0.210474,2
0.413308,0.270155,-0.213723,0.192223,-0.133629,0.109755,2
0.460669,0.219175,-0.190264,0.025721,-0.12432,0.105124,2
0.489715,0.201355,-0.213411,-0.110742,-0.255171,0.188042,2
0.426019,0.115711,-0.018717,-0.140093,-0.079526,0.066439,2
0.261581,0.031417,0.148432,-0.259916,0.063821,0.113004,2
0.150011,0.105173,0.14188,0.088746,-0.150207,0.385836,2
0.044835,0.145667,0.232589,0.425455,-0.029395,0.36624,2
-0.088235,0.185564,0.304538,0.478253,-0.212107,0.339507,2
-0.109273,0.183199,0.433258,0.294477,-0.522393,0.462766,2
-0.111934,0.239985,0.569635,0.061584,-0.197326,0.744584,2
-0.223038,0.192052,0.521102,1.307426,0.047852,1.311667,2
-0.2806,0.094325,0.315661,-1.567354,-1.769099,-0.298923,2
-0.433035,0.039798,-0.030001,-0.543822,-0.249447,0.067514,2
-0.539722,-0.084651,-0.681682,0.76861,0.212658,0.221244,2
-0.514237,-0.231359,-0.901795,0.711724,0.545444,-0.013738,2
-0.536644,-0.07598,-0.725505,0.513289,0.311904,-0.442235,2
-0.54283,0.13909,-0.318146,0.193591,0.279097,-0.205712,2
-0.678559,0.408188,-0.006783,0.413746,-0.010548,-0.247191,2
-0.693456,0.482754,0.260037,0.149781,-0.130715,-0.116169,2
-0.649524,0.539683,0.377986,0.298133,0.336977,0.109143,2
-0.558974,0.349169,0.288846,0.683788,0.438359,0.308559,2
-0.449396,-0.015762,0.152118,0.800002,0.393283,0.269011,2
-0.40537,-0.260928,0.040424,0.31411,0.575818,-0.185113,2
-0.568019,-0.22775,-0.098612,0.090199,0.402742,-0.238093,2
-0.837766,-0.11976,-0.213947,-0.260969,-0.290022,-0.367199,2
-0.915939,0.034542,-0.223891,0.33389,0.104683,-0.051069,2
-0.883592,0.020698,-0.079623,-0.234725,-0.944879,-0.336426,2
-0.682205,0.078766,0.010148,0.066117,-0.46462,-0.355072,2
