SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
458081076,-0.81641,0.473599,-0.02876,-0.61529,0.357075,0.655315,1
458114410,-0.995821,0.58044,-0.082376,-0.270387,0.140922,0.837894,1
458147744,-0.742746,0.482489,-0.039181,0.049046,-0.000445,0.96813,1
458181078,-0.320805,0.127412,0.088329,0.306763,-0.167297,0.925723,1
458214412,0.124048,-0.102653,0.152757,0.740931,-0.388709,0.794085,1
458247746,0.508765,-0.141035,0.184738,1.13346,-0.566461,0.521848,1
458281080,0.433858,-0.027244,0.223287,1.476938,-0.771201,0.36582,1
458314414,0.030133,0.215511,0.123141,1.710037,-0.90809,0.224297,1
458347748,-0.235551,0.350787,0.083785,1.817427,-0.914963,0.176221,1
458381082,-0.314207,0.256051,0.111173,1.815465,-0.861969,0.190378,1
458414416,-0.223918,0.169667,0.028963,1.741484,-0.759107,0.190928,1
458447750,-0.114363,0.116463,0.016097,1.670268,-0.658831,0.273843,1
458481084,0.167048,0.09404,0.099463,1.410025,-0.499957,0.252196,1
458514418,0.464577,0.189167,0.185792,1.328887,-0.43032,0.353558,1
458547752,0.657087,0.238535,0.1587,0.986212,-0.191953,0.260931,1
458581086,0.431591,0.294854,0.159052,0.711083,-0.04655,0.31559,1
458614420,0.19306,0.317548,0.126787,0.391476,0.18196,0.133685,1
458647754,0.0862,0.19447,0.167937,0.030605,0.326793,0.057715,1
458681088,-0.052947,0.064507,-0.00633,-0.199923,0.245582,-0.240356,1
458714422,-0.110069,0.114854,0.075253,-0.243489,-0.196234,-0.694914,1
458747756,0.184472,0.378543,-0.047914,-0.380107,-0.581862,-0.509871,1
458781090,0.468595,0.40934,0.10073,-0.515142,-0.651792,0.05669,1
458814424,0.582571,0.305576,0.241167,-0.559392,-0.698778,0.530511,1
458847758,0.434412,0.223961,0.094625,-0.700622,-0.33469,0.974937,1
458881092,0.220601,0.024935,0.177979,-0.913965,-0.000641,1.156854,1
458914426,0.163076,0.012623,0.078662,-0.91467,0.2349,0.774927,1
458947760,0.164587,0.186645,0.165174,-0.51615,0.267067,0.435772,1
458981094,0.326466,0.181582,0.160263,-0.214866,0.345018,0.027351,1
