Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
0.403,0.192,0.973,0.343,-0.709,0.583,0.969,-0.076,-0.056,0
0.403,0.255,1.063,0.176,-0.188,0.771,0.997,-0.082,-0.021,0
0.416,0.284,1.053,0.278,-0.171,0.756,1.002,-0.07,-0.053,0
0.293,0.234,0.929,0.591,-0.614,0.752,1.021,-0.05,0.006,0
0.186,0.138,0.962,0.49,-0.474,0.775,0.993,-0.029,-0.097,0
0.027,0.1,0.979,0.439,-0.471,0.779,1.01,-0.063,-0.052,0
-0.079,0.183,1.034,0.386,-0.514,0.828,0.993,-0.052,-0.091,0
-0.152,0.158,0.904,0.302,-0.448,0.854,0.969,-0.027,-0.136,0
-0.197,0.146,0.864,0.111,-0.471,0.664,0.968,-0.049,-0.198,0
-0.032,0.146,0.854,0.165,-0.51,0.649,0.968,-0.083,-0.219,0
0.194,0.302,0.708,0.501,-0.628,0.841,0.972,-0.128,-0.263,0
0.376,0.307,0.797,0.593,-0.654,0.823,0.951,-0.126,-0.294,0
0.523,0.238,0.725,0.506,-0.494,0.86,0.941,-0.124,-0.313,0
0.673,0.707,0.713,0.381,-0.51,0.754,0.929,-0.115,-0.322,0
0.665,0.583,0.795,0.282,-0.485,0.716,0.95,-0.14,-0.304,0
0.581,0.59,0.836,0.268,-0.577,0.753,0.947,-0.148,-0.319,0
0.484,0.481,0.962,0.23,-0.626,0.816,0.931,-0.129,-0.33,0
0.337,0.32,0.97,0.132,-0.551,0.726,0.927,-0.183,-0.342,0
0.197,0.197,0.87,0.179,-0.544,0.689,0.916,-0.15,-0.338,0
0.01,0.076,0.825,0.267,-0.523,0.748,0.939,-0.173,-0.319,0
-0.065,0.057,0.867,0.367,-0.563,0.73,0.928,-0.136,-0.34,0
0.024,0.087,0.943,0.368,-0.667,0.828,0.949,-0.136,-0.298,0
