Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.317,0.986,0.26,0.333,0.894,0.197,-0.064,0.979,-0.218,1
-0.226,1.011,0.292,0.357,0.886,0.179,-0.06,0.98,-0.215,1
-0.185,0.931,0.312,0.356,0.907,0.207,-0.059,0.976,-0.221,1
-0.209,0.953,0.255,0.344,0.919,0.322,-0.069,0.974,-0.223,1
-0.302,0.995,0.275,0.395,0.922,0.257,-0.058,0.975,-0.223,1
-0.228,0.972,0.228,0.352,0.904,0.208,-0.061,0.976,-0.206,1
-0.246,0.869,0.223,0.298,0.901,0.247,-0.062,0.975,-0.219,1
-0.183,0.957,0.248,0.304,0.933,0.291,-0.066,0.976,-0.23,1
-0.258,0.907,0.35,0.318,0.912,0.295,-0.064,0.973,-0.211,1
-0.148,0.934,0.325,0.342,0.908,0.231,-0.066,0.979,-0.201,1
-0.217,0.935,0.363,0.353,0.902,0.275,-0.064,0.975,-0.215,1
-0.233,0.938,0.354,0.291,0.902,0.288,-0.08,0.977,-0.207,1
-0.25,0.935,0.305,0.365,0.911,0.254,-0.063,0.978,-0.213,1
-0.206,0.956,0.294,0.365,0.91,0.299,-0.075,0.978,-0.207,1
-0.233,0.909,0.294,0.375,0.881,0.287,-0.054,0.972,-0.224,1
-0.213,0.906,0.294,0.352,0.907,0.276,-0.052,0.976,-0.205,1
-0.295,1.032,0.475,0.329,0.884,0.265,-0.072,0.979,-0.208,1
-0.591,0.888,0.217,0.335,0.926,0.246,-0.055,0.973,-0.217,1
-0.675,0.751,0.224,0.327,0.93,0.258,-0.043,0.974,-0.218,1
-0.811,0.724,0.158,0.344,0.919,0.226,-0.055,0.973,-0.225,1
-0.707,0.625,0.264,0.355,0.902,0.251,-0.039,0.98,-0.201,1
-0.451,0.593,0.289,0.39,0.881,0.205,-0.038,0.98,-0.204,1
-0.394,0.559,0.444,0.324,0.905,0.234,-0.043,0.983,-0.196,1
