Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.026,0.986,0.264,0.229,0.938,0.261,-0.064,1.008,-0.258,1
-0.003,0.972,0.293,0.253,1.0,0.277,-0.047,0.937,-0.264,1
-0.003,0.97,0.291,0.192,0.945,0.266,0.036,0.967,-0.278,1
-0.022,0.972,0.271,0.21,0.932,0.232,-0.024,0.939,-0.326,1
-0.025,0.958,0.246,0.243,0.925,0.221,0.132,0.953,-0.343,1
-0.04,0.942,0.242,0.234,0.931,0.245,0.039,0.973,-0.225,1
-0.029,0.954,0.274,0.238,0.941,0.271,0.167,0.943,-0.267,1
0.001,0.97,0.305,0.237,0.958,0.288,0.147,0.951,-0.239,1
0.018,0.982,0.295,0.241,0.954,0.281,0.174,0.953,-0.242,1
0.032,0.975,0.246,0.251,0.935,0.271,0.198,0.943,-0.271,1
-0.028,0.938,0.232,0.229,0.948,0.278,0.175,0.956,-0.254,1
0.013,0.966,0.272,0.216,0.936,0.27,0.172,0.958,-0.246,1
0.0,0.975,0.274,0.225,0.944,0.253,0.185,0.948,-0.261,1
-0.033,0.972,0.268,0.225,0.948,0.248,0.183,0.948,-0.272,1
-0.021,0.967,0.27,0.218,0.947,0.235,0.182,0.949,-0.284,1
-0.024,0.97,0.27,0.232,0.94,0.221,0.16,0.94,-0.307,1
-0.023,0.988,0.277,0.225,0.958,0.214,0.131,0.945,-0.295,1
-0.004,0.974,0.287,0.206,0.946,0.207,0.111,0.913,-0.397,1
0.014,0.958,0.289,0.231,0.954,0.199,0.076,0.941,-0.298,1
-0.007,0.958,0.283,0.226,0.976,0.208,-0.027,0.989,-0.256,1
-0.014,0.965,0.277,0.224,0.991,0.202,-0.037,0.931,-0.389,1
-0.021,0.969,0.267,0.269,0.977,0.21,-0.015,0.968,-0.403,1
-0.021,0.962,0.261,0.259,0.925,0.294,-0.118,0.946,-0.339,1
-0.007,0.967,0.267,0.166,0.926,0.397,-0.104,0.927,-0.311,1
0.001,0.97,0.272,0.182,0.891,0.447,-0.111,0.94,-0.312,1
0.007,0.967,0.274,0.192,0.87,0.4,-0.115,0.947,-0.299,1
0.002,0.977,0.273,0.197,0.913,0.364,-0.158,0.945,-0.293,1
0.007,0.962,0.271,0.158,0.975,0.294,-0.118,0.933,-0.353,1
0.004,0.963,0.266,0.253,0.917,0.233,-0.098,0.927,-0.299,1
-0.004,0.973,0.265,0.233,0.976,0.208,-0.102,0.928,-0.328,1
-0.0,0.968,0.267,0.262,0.982,0.217,-0.109,0.923,-0.335,1
0.009,0.974,0.272,0.259,0.928,0.201,-0.069,0.981,-0.212,1
0.0,0.976,0.251,0.274,0.911,0.196,-0.101,0.929,-0.332,1
-0.009,0.952,0.231,0.288,0.939,0.189,0.036,0.928,-0.334,1
-0.023,0.971,0.257,0.271,0.976,0.195,0.015,0.978,-0.251,1
-0.02,0.976,0.311,0.266,0.958,0.204,0.058,0.947,-0.341,1
0.003,0.98,0.345,0.247,0.954,0.2,0.119,0.976,-0.178,1
-0.006,0.958,0.324,0.255,0.957,0.197,0.019,1.027,-0.027,1
-0.033,0.958,0.289,0.262,0.968,0.208,0.206,0.921,-0.331,1
-0.016,0.97,0.291,0.258,0.945,0.202,0.196,0.97,-0.223,1
-0.024,0.981,0.29,0.265,0.944,0.207,0.091,0.983,-0.157,1
-0.048,0.946,0.258,0.265,0.958,0.212,0.208,0.972,-0.226,1
-0.025,0.949,0.265,0.25,0.944,0.218,0.137,0.974,-0.194,1
-0.011,0.962,0.284,0.235,0.956,0.205,0.14,0.977,-0.181,1
-0.021,0.962,0.292,0.225,0.968,0.249,0.126,0.969,-0.212,1
-0.047,0.97,0.294,0.254,0.922,0.295,0.101,0.962,-0.226,1
-0.033,0.971,0.31,0.16,0.911,0.28,0.064,0.97,-0.222,1
-0.036,0.974,0.303,0.206,0.937,0.309,-0.016,0.978,-0.223,1
-0.026,0.98,0.284,0.205,0.946,0.284,0.027,0.939,-0.34,1
-0.036,0.986,0.259,0.192,0.941,0.286,-0.057,0.972,-0.292,1
-0.01,0.974,0.252,0.199,0.938,0.273,-0.088,0.974,-0.292,1
0.07,0.937,0.309,0.214,0.922,0.273,-0.088,0.952,-0.271,1
-0.089,0.954,0.31,0.218,0.939,0.292,-0.141,0.973,-0.248,1
-0.024,0.948,0.337,0.196,0.952,0.284,-0.139,0.949,-0.292,1
0.011,0.945,0.324,0.236,0.951,0.239,-0.152,0.952,-0.296,1
-0.045,0.93,0.312,0.269,0.948,0.226,-0.122,0.98,-0.261,1
0.025,0.965,0.34,0.229,0.954,0.233,-0.13,0.961,-0.292,1
0.003,0.985,0.375,0.229,0.97,0.235,0.019,0.952,-0.246,1
0.026,0.907,0.378,0.224,0.972,0.236,0.052,0.967,-0.249,1
0.0,0.894,0.38,0.194,0.958,0.237,0.008,0.958,-0.258,1
0.007,0.919,0.375,0.168,0.961,0.252,0.128,0.975,-0.255,1
0.016,0.953,0.384,0.158,0.972,0.291,0.083,0.956,-0.277,1
0.03,0.916,0.397,0.165,0.906,0.287,0.102,0.954,-0.26,1
0.017,0.916,0.394,0.155,0.941,0.305,0.116,0.953,-0.256,1
0.006,0.933,0.393,0.098,0.918,0.348,0.134,0.951,-0.274,1
0.0,0.95,0.376,0.084,0.91,0.387,0.123,0.956,-0.279,1
-0.008,0.932,0.344,0.123,0.916,0.389,0.103,0.955,-0.275,1
-0.02,0.938,0.333,0.161,0.917,0.373,0.08,0.953,-0.288,1
-0.013,0.96,0.337,0.142,0.944,0.338,0.066,0.957,-0.283,1
-0.002,0.953,0.329,0.167,0.952,0.318,0.047,0.948,-0.303,1
0.011,0.946,0.327,0.156,0.931,0.306,0.019,0.943,-0.3,1
0.011,0.945,0.323,0.186,0.913,0.278,-0.022,0.941,-0.298,1
0.01,0.953,0.32,0.217,0.929,0.271,-0.065,0.951,-0.305,1
-0.015,0.954,0.313,0.229,0.962,0.268,-0.101,0.939,-0.36,1
-0.015,0.94,0.324,0.242,0.967,0.246,-0.117,0.949,-0.308,1
-0.016,0.949,0.331,0.264,0.976,0.233,-0.147,0.956,-0.286,1
-0.011,0.972,0.327,0.256,0.968,0.253,-0.141,0.944,-0.302,1
-0.007,0.951,0.321,0.226,0.957,0.262,-0.128,0.968,-0.313,1
0.008,0.941,0.339,0.23,0.939,0.248,-0.109,0.953,-0.278,1
0.01,0.943,0.361,0.224,0.936,0.257,-0.066,0.956,-0.286,1
0.008,0.953,0.359,0.212,0.941,0.269,-0.039,0.966,-0.264,1
-0.021,0.945,0.329,0.215,0.909,0.275,-0.004,0.946,-0.37,1
-0.004,0.95,0.324,0.225,0.929,0.28,0.059,0.961,-0.264,1
-0.024,0.953,0.334,0.215,0.934,0.299,0.039,0.959,-0.271,1
0.006,0.954,0.34,0.202,0.948,0.314,0.083,0.972,-0.222,1
