SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
3797815887,-0.162009,0.304213,0.407525,0.162626,0.014226,0.785716,-2.184992,-1.033858,-5.267835,0.538194,-2.018809,2.504745,0
3797849221,0.321301,0.232563,0.245418,-1.154658,-0.287172,1.827298,-0.31112,-0.459885,-5.278846,1.825703,0.767019,1.890018,0
3797882555,0.659099,0.17628,0.065901,-1.34307,0.690946,1.285063,1.090944,0.101713,-2.990221,3.347792,2.385229,1.900168,0
3797915889,0.661816,-0.005967,0.250208,-0.723487,1.030252,1.669252,3.54861,2.009867,-0.537207,3.185838,3.768103,0.876731,0
3797949223,0.887361,0.147151,0.067617,-1.051715,1.103151,1.766058,5.259566,2.76508,3.765564,3.204307,5.06249,-0.404953,0
3797982557,0.649079,0.030073,0.06546,-0.974283,1.208895,1.096877,4.54878,1.594532,4.058397,2.912956,5.390295,-1.260156,0
3798015891,0.743777,-0.192347,-0.193475,-0.93386,0.582469,0.648545,3.459811,0.698188,4.417936,2.144675,5.341414,-2.071848,0
3798049225,1.066397,-0.401944,-0.238126,-0.777493,0.318786,0.168401,0.896818,0.590611,5.736012,1.259867,4.462654,-2.530902,0
3798082559,1.274313,-0.286956,-0.217061,-0.321295,0.105641,-0.347405,-0.729961,-0.045093,5.52969,-0.13645,4.490314,-3.761262,0
3798115893,0.953777,-0.15021,-0.027666,-0.654422,-0.520087,-0.131357,-0.818142,0.229817,4.414042,-0.013873,4.902731,-4.689927,0
3798149227,0.885784,0.096853,-0.244046,-1.008544,-0.29893,-0.137091,-0.957384,0.553842,3.071358,-0.503,3.407249,-4.253096,0
3798182561,0.608927,0.134997,0.071644,-0.504376,-0.071104,-0.620246,-1.533857,0.109116,1.760355,0.932333,2.271102,-2.823618,0
3798215895,0.505386,0.08473,-0.204884,-0.577378,0.00057,-0.784856,-0.514972,0.891995,0.577239,-0.967275,0.619809,-4.775345,0
3798249229,0.315373,0.073249,-0.317773,0.383598,-0.197303,-0.754875,0.296158,1.028667,-0.903441,-1.186664,-1.612442,-4.858123,0
3798282563,-0.012769,-0.165206,-0.113945,0.359337,0.116646,-2.192521,0.791153,0.380553,-1.242821,-1.546124,-6.269367,-0.317127,0
3798315897,-0.319431,-0.196649,-0.060843,1.270276,0.227335,-2.704761,0.116136,-0.271032,-1.48617,-3.399624,-8.847749,2.288104,0
3798349231,0.198974,-0.619139,-0.122593,2.416741,0.478157,-3.128729,-1.56803,-1.369717,-1.339132,-3.793872,-10.426119,3.853198,0
3798382565,0.785005,-0.799903,-0.450068,2.06576,-0.341655,-2.437402,-3.201553,-2.177146,-1.098989,-2.178415,-7.521417,3.463331,0
3798415899,1.198514,-0.803787,-0.436138,0.2246,-0.544852,-1.067624,-4.194863,-2.323067,-0.879171,0.232874,-5.072298,3.044971,0
3798449233,0.475982,-1.074517,-0.457307,0.328018,-0.379747,-0.062369,-4.489399,-1.790244,-1.477973,0.60111,-1.781003,0.501633,0
3798482567,-0.025326,-0.244079,-0.286077,0.236753,0.278726,0.350559,-3.531822,-1.126257,-1.573027,1.490826,0.291337,1.244657,0
3798515901,-0.623593,-0.113504,-0.214633,0.110339,0.939339,1.045258,-2.86693,-0.102481,-1.849881,1.649126,1.94154,0.60237,0
3798549235,-0.515746,0.039351,0.016628,-0.707835,0.548471,1.505198,-4.105103,-0.542949,-2.409343,1.500219,3.489156,0.731281,0
3798582569,-0.329638,-0.427288,-0.104647,-1.116218,0.501708,1.554149,-1.752194,-0.370157,-3.152622,1.49435,4.772168,0.900422,0
3798615903,0.392862,0.279855,-0.344173,-0.671554,0.537397,0.901886,-0.808635,0.421159,-4.508415,1.171464,4.777317,0.747359,0
3798649237,1.021871,0.150204,-0.178472,-0.890693,0.488418,0.705297,1.887892,0.536688,-2.612316,0.876802,5.267133,0.160069,0
3798682571,0.917168,0.260964,-0.22729,-0.661342,0.486819,-0.050179,6.423966,1.722121,-0.889236,1.15222,5.225348,-0.139927,0
3798715905,0.372607,0.3892,-0.1057,-0.716673,0.4784,-0.104692,5.148224,2.224789,-1.765476,1.55417,4.298482,-0.263277,0
3798749239,-0.099214,0.127828,-0.210149,-0.311103,0.434755,0.049721,5.521241,2.808699,-1.133121,2.05575,4.294372,-1.07797,0
3798782573,-0.324113,-0.420231,-0.207674,-0.038709,0.413127,0.230874,4.2152,2.845037,0.300452,0.938894,4.051239,-2.2073,0
3798815907,-0.479214,-1.184128,-0.211315,-0.023132,0.028697,0.283629,3.756983,1.961363,2.101316,0.318822,3.492421,-2.613173,0
3798849241,-0.407814,-2.044126,0.026908,0.207554,-0.395675,0.389589,2.134659,0.466165,2.282649,1.805829,2.185715,-1.947051,0
3798882575,0.118387,-2.11205,0.153402,0.199558,-0.486284,0.077337,0.31326,-0.153316,1.563028,1.153744,-0.464361,-1.966249,0
3798915909,0.280883,-1.422516,0.010386,0.372562,-0.157818,-0.813437,-0.357203,-0.645342,1.615976,-0.866985,-2.431903,-3.458636,0
3798949243,0.344408,-0.447402,-0.171328,-0.058192,0.470575,-1.564265,-2.22919,-1.266289,1.219345,-2.013177,-2.874987,-3.508566,0
3798982577,0.4412,-0.136866,-0.112748,0.175265,0.336737,-1.471332,-2.997965,-1.42492,1.336831,-2.678705,-5.72448,-1.451838,0
3799015911,0.5775,-0.241506,-0.017316,0.405197,0.729399,-2.165563,-5.316864,-1.204515,0.763733,-3.502595,-4.779534,-1.322998,0
3822283043,-0.419647,0.150133,-0.078579,0.823138,0.232162,0.417987,-1.395636,-0.428564,1.267555,-0.229023,2.782325,4.354741,0
3822316377,-0.60261,0.148728,-0.19513,0.4597,0.373968,0.432013,-1.428204,-0.692093,1.496694,-1.184212,3.486887,6.985264,0
3822349711,-0.356039,0.108186,-0.063068,0.488645,0.546348,0.924025,-1.341745,-0.685777,1.890969,0.833835,3.532647,7.88386,0
3822383045,-0.137037,0.027735,-0.090304,-1.45288,0.492365,0.807755,-1.642886,-0.694003,2.895449,-0.204354,2.904535,8.846325,0
3822416379,-0.269094,-0.123614,-0.017718,-2.650666,1.581591,1.243016,-2.142489,-0.58536,3.530852,0.660467,1.659589,6.267729,0
3822449713,-0.280066,-0.16639,0.044909,-1.915207,2.03144,1.469945,-2.446147,-0.368393,3.525515,1.434653,0.022408,3.258211,0
3822483047,-0.12834,-0.0977,0.017034,-2.283707,1.749782,2.551896,-1.96361,0.056833,4.143479,-0.172973,-0.484163,-0.873271,0
3822516381,-0.211332,-0.636183,0.367148,-1.582368,0.798919,2.431923,-0.888807,0.782831,5.019217,0.674365,1.129129,-3.179471,0
3822549715,-0.767429,-1.727508,-0.050663,-1.208774,-0.117328,1.961758,0.401952,0.615903,4.150457,-1.368801,-0.096062,-2.539269,0
3822583049,-1.294458,-2.989346,0.118911,-0.271936,-1.433528,1.059827,1.723446,0.483575,2.319967,-1.96381,0.672912,-3.689858,0
3822616383,-1.199788,-1.488991,-0.85763,-0.196758,-1.76897,0.215563,2.039518,0.015029,0.973557,-1.954419,1.606563,-4.619809,0
3822649717,-0.313237,-0.832203,-0.138558,0.454802,-2.006957,-0.460883,2.5611,0.8337,0.150001,-1.254328,1.612643,-4.826485,0
