PacketCounter,SampleTimeFine,Arm_Euler_X,Arm_Euler_Y,Arm_Euler_Z,Arm_Acc_X,Arm_Acc_Y,Arm_Acc_Z,Arm_Gyr_X,Arm_Gyr_Y,Arm_Gyr_Z,Leg_Euler_X,Leg_Euler_Y,Leg_Euler_Z,Leg_Acc_X,Leg_Acc_Y,Leg_Acc_Z,Leg_Gyr_X,Leg_Gyr_Y,Leg_Gyr_Z,Activity
1618,4205628533,-80.7894058227539,-78.57776641845703,11.23812007904053,9.73307037353516,-1.71184349060059,0.33784818649292,-4.90797138214111,-2.87524437904358,1.21028685569763,145.4058837890625,-78.53626251220703,-146.0889434814453,9.70923614501953,1.3400239944458,-1.42122733592987,-1.9787220954895,-2.96148157119751,-0.65918123722076,0
1619,4205661867,-81.390625,-78.53022003173828,11.67133140563965,9.71898078918457,-1.74383521080017,0.2930580675602,-5.66968441009521,-2.79060411453247,1.63151049613953,145.48109436035156,-78.43728637695312,-146.2903289794922,9.76840305328369,1.26658833026886,-1.42995345592499,-3.23863410949707,-2.76558017730713,-0.72147476673126,0
1620,4205695201,-82.03978729248047,-78.45619201660156,12.05612564086914,9.68745994567871,-1.70414936542511,0.3365885913372,-8.53738498687744,-2.42205786705017,2.35421299934387,145.4555206298828,-78.31261444091797,-146.44859313964844,9.71131038665771,1.20369780063629,-1.44078981876373,-4.99267911911011,-3.25768709182739,-1.36061763763428,0
1621,4205728535,-82.80338287353516,-78.39141845703125,12.52520656585693,9.72724533081055,-1.8428795337677,0.21419768035412,-9.49329280853271,-3.00674605369568,2.12262344360352,145.4671173095703,-78.17575073242188,-146.66583251953125,9.7627592086792,1.21831548213959,-1.5132839679718,-5.60699510574341,-3.77152967453003,-1.26328325271606,0
1622,4205761869,-83.66483306884766,-78.35542297363281,13.04297542572021,9.72732448577881,-1.86240375041962,0.1886138021946,-11.00096607208252,-3.44563484191895,1.26720345020294,145.37564086914062,-78.02971649169922,-146.84024047851562,9.85305404663086,1.06228792667389,-1.5801374912262,-7.43901252746582,-3.85850834846497,-1.62839603424072,0
1623,4205795203,-84.68912506103516,-78.34080505371094,13.68393611907959,9.77837181091309,-1.9519385099411,0.24370294809341,-12.27109909057617,-4.28168487548828,0.66083800792694,145.2613983154297,-77.8466567993164,-146.97442626953125,9.88273620605469,1.02342402935028,-1.49541842937469,-6.93792057037354,-4.63173770904541,-2.46257066726685,0
1624,4205828537,-85.8087158203125,-78.35539245605469,14.46769523620605,9.69310665130615,-2.02341079711914,0.31454986333847,-10.93083190917969,-5.23336458206177,-0.21797733008862,144.9937286376953,-77.63929748535156,-146.8609161376953,9.92157745361328,0.94045078754425,-1.49425768852234,-4.2775411605835,-4.32876682281494,-4.18096876144409,0
1625,4205861871,-86.9612045288086,-78.39817810058594,15.37883186340332,9.7612190246582,-2.10845255851746,0.41603273153305,-8.17215538024902,-6.04278373718262,-1.10710716247559,144.66737365722656,-77.44506072998047,-146.54595947265625,9.90700244903564,0.88472908735275,-1.47886955738068,-0.14016236364841,-3.22918963432312,-5.05580568313599,0
1626,4205895205,-87.93536376953125,-78.46664428710938,16.26518821716309,9.79612731933594,-2.3287832736969,0.41364765167236,-3.55009889602661,-5.8854923248291,-1.98774874210358,144.42823791503906,-77.28358459472656,-146.10589599609375,9.91289329528809,0.99008446931839,-1.57011556625366,6.13242959976196,-1.91231977939606,-5.19738245010376,0
1627,4205928539,-88.56401062011719,-78.53172302246094,17.0612621307373,9.81466007232666,-2.35973763465881,0.31735542416573,4.16790008544922,-5.2886004447937,-1.98231875896454,144.1527862548828,-77.16585540771484,-145.54298400878906,9.88768577575684,1.17625153064728,-1.6833508014679,8.62883758544922,-0.33137118816376,-5.13024377822876,0
