PacketCounter,SampleTimeFine,Arm_Euler_X,Arm_Euler_Y,Arm_Euler_Z,Arm_Acc_X,Arm_Acc_Y,Arm_Acc_Z,Arm_Gyr_X,Arm_Gyr_Y,Arm_Gyr_Z,Leg_Euler_X,Leg_Euler_Y,Leg_Euler_Z,Leg_Acc_X,Leg_Acc_Y,Leg_Acc_Z,Leg_Gyr_X,Leg_Gyr_Y,Leg_Gyr_Z,Activity
462,120232095,-43.13783645629883,-73.02383422851562,-12.56643581390381,9.46455383300781,-2.09440946578979,2.40879130363464,-20.36430549621582,-1.67494654655457,-5.84993839263916,27.8365535736084,-82.502685546875,-26.56174087524414,9.891921043396,0.43476030230522,1.23076581954956,-22.15863418579102,-3.47396278381348,-4.35751152038574,0
463,120265429,-43.42671203613281,-73.14735412597656,-12.8885555267334,9.43091869354248,-2.20986819267273,2.49885320663452,-18.33738899230957,-1.22561860084534,-4.77832889556885,28.54087829589844,-82.54983520507812,-28.02078056335449,9.93550586700439,0.40490552783012,1.3075133562088,-21.83774375915527,-3.55590987205505,-4.37876224517822,0
464,120298763,-43.61669158935547,-73.27818298339844,-13.20438957214355,9.46077537536621,-2.13954138755798,2.49114656448364,-15.196946144104,-1.41723251342773,-4.87810325622559,29.19362831115723,-82.58556365966797,-29.33196830749512,9.96807384490967,0.25693061947823,1.3724250793457,-18.98831939697266,-3.01651692390442,-3.96667003631592,0
465,120332097,-43.80750274658203,-73.39964294433594,-13.48562526702881,9.41830539703369,-2.19012713432312,2.53303718566895,-14.23257350921631,-1.41949224472046,-4.45779514312744,29.62989044189453,-82.60781860351562,-30.3322582244873,9.93950271606445,0.26156657934189,1.40306735038757,-16.23437690734863,-2.10260939598083,-3.06822466850281,0
466,120365431,-43.93161392211914,-73.50968933105469,-13.68267345428467,9.32638454437256,-2.28340888023376,2.61117386817932,-9.81430912017822,-1.67319703102112,-3.69480419158936,29.84866523742676,-82.62565612792969,-31.08372688293457,9.8737325668335,0.26126748323441,1.38457500934601,-15.35629940032959,-1.5209094285965,-2.27957916259766,0
467,120398765,-43.96151733398438,-73.6365737915039,-13.80264091491699,9.25243377685547,-2.32205414772034,2.59863090515137,-4.77514505386353,-2.49428772926331,-3.56765937805176,29.92966461181641,-82.64736938476562,-31.59195518493652,9.82890033721924,0.0474988296628,1.38753437995911,-12.25109004974365,-1.16457033157349,-1.39464974403381,0
468,120432099,-43.94134521484375,-73.77318572998047,-13.82221698760986,9.28008079528809,-2.36127376556396,2.5880024433136,-0.38553524017334,-3.29654741287231,-3.15682983398438,29.90273284912109,-82.66128540039062,-31.7996940612793,9.88723087310791,-0.13847434520721,1.37912428379059,-6.54635667800903,-0.38033920526505,-0.5120205283165,0
469,120465433,-43.8764762878418,-73.89815521240234,-13.7900333404541,9.31578350067139,-2.34755635261536,2.59878706932068,2.44807243347168,-3.34952783584595,-2.60141897201538,29.85405349731445,-82.67204284667969,-31.77487373352051,9.88888359069824,-0.08112447708845,1.32065761089325,-0.27602484822273,0.14645341038704,0.21287353336811,0
470,120498767,-43.80276870727539,-73.99028015136719,-13.70581817626953,9.31354904174805,-2.40999555587769,2.60564303398132,4.21018171310425,-2.93991637229919,-1.6053854227066,29.85767364501953,-82.69035339355469,-31.62181663513184,9.88862037658691,0.05541214346886,1.32272720336914,5.11121463775635,0.1952840834856,0.74786549806595,0
471,120532101,-43.70864105224609,-74.05097961425781,-13.53127384185791,9.40217685699463,-2.46793746948242,2.63081812858582,7.43182229995728,-2.77634215354919,-0.41488128900528,29.47374534606934,-82.70994567871094,-30.97363090515137,9.94426727294922,0.08032546937466,1.33326542377472,8.22088527679443,1.08891868591309,2.40858244895935,0
