SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1055358975,-2.271776,1.648656,-0.65448,-0.517447,0.470898,0.550336,-2.518131,1.163546,-1.517311,1
1055392309,-2.147198,1.267139,-1.018747,-0.462522,0.376853,0.315367,-2.335775,0.988178,-1.477987,1
1055425643,-1.998338,1.582731,-1.227803,-0.037919,0.523836,0.059536,-1.082437,0.722372,-0.366587,1
1055458977,-1.578771,1.245824,-1.381344,0.285855,0.655396,-0.252637,-0.464525,0.829199,-0.154693,1
1055492311,-1.134737,0.913203,-1.05535,0.334564,0.607965,-0.496944,0.367036,0.414194,0.377169,1
1055525645,-0.097068,0.92542,-0.906542,0.225177,0.53647,-0.613042,1.144859,-0.685948,0.889076,1
1055558979,1.644288,1.853608,-0.53814,-0.020206,0.379302,-0.595584,0.961949,-1.887401,1.000207,1
1055592313,2.454718,0.777177,0.749357,-0.132123,0.304004,-0.407434,-0.148151,-1.109159,-0.006017,1
1055625647,4.201786,-0.914031,1.62075,-0.606882,0.248393,-0.013325,-0.965371,0.260775,-0.555777,1
1055658981,0.450573,-1.075799,-0.603247,-0.416507,0.50235,0.658317,-0.820615,-0.368933,0.431198,1
1055692315,-0.779462,-0.467181,0.627046,-0.781064,0.493983,1.006459,-0.460144,-1.21392,1.270452,1
1055725649,1.716772,-1.049755,1.832586,-1.267045,0.30915,0.756624,-0.352129,-1.05917,0.927983,1
1055758983,0.609997,-1.93193,-0.533608,-1.580273,-0.036773,0.379967,-0.348642,-0.857801,0.420782,1
1055792317,-0.06907,-1.484827,0.541697,-1.642559,-0.561762,0.233546,-0.033622,-1.084182,0.296748,1
1055825651,1.018879,-1.209614,-0.050582,-1.099367,-0.71534,0.274366,0.323082,-1.082155,0.145502,1
1055858985,0.994401,0.366239,0.326734,-0.455996,-0.647681,0.344296,0.548919,-0.843905,0.088095,1
1055892319,0.310995,1.07164,0.609949,0.143845,-0.079413,0.251373,0.702723,-0.579826,-0.00315,1
1055925653,0.058916,1.055702,-0.142821,0.386378,0.391929,-0.007065,0.858549,-0.424367,-0.262463,1
1055958987,-0.68543,-0.021017,-0.311213,0.240244,0.544386,-0.222735,0.983083,-0.486263,-0.656356,1
1055992321,-1.304638,0.547194,-0.118525,0.003236,0.669167,-0.458523,1.108759,-0.525787,-0.892264,1
1056025655,-1.884179,1.417997,-0.358686,0.162385,0.836892,-0.525084,1.238792,-0.316476,-0.414921,1
1056058989,-1.045399,1.352682,0.698986,0.619366,1.023273,-0.018142,1.351395,-0.034317,0.657619,1
1056092323,1.181977,-0.036624,0.426271,1.137307,1.100084,-0.144176,1.37091,0.171243,1.099795,1
1056125657,2.296261,-0.682436,0.534476,1.879298,1.137948,-0.87786,1.249472,0.413814,1.002507,1
1056158991,1.902279,-0.196246,0.543527,2.401479,0.994259,-1.286365,1.206886,0.516294,1.203427,1
1056192325,0.756196,0.256928,0.29629,2.361549,0.51531,-0.884668,1.349547,0.415723,1.421836,1
1056225659,-0.027137,0.231331,0.130971,1.450478,0.002525,-1.02407,1.243092,0.380292,0.999476,1
1056258993,-0.014754,0.823654,0.033904,0.95268,-1.334381,-0.386924,0.826015,0.464687,0.379664,1
1056292327,-0.166504,0.92713,-0.103603,1.112551,-1.218744,-0.714887,0.49941,0.632693,-0.224359,1
1056325661,-0.089301,0.479794,-0.0179,0.423412,-1.327971,-0.7714,-0.579062,1.636854,-1.025396,1
1056358995,-0.265926,0.241824,0.000331,0.325414,-1.660597,-0.371702,-0.650855,2.428782,-1.099742,1
1056392329,0.335726,0.121866,0.405665,0.304183,-1.393455,0.865498,-0.803413,2.755925,0.024438,1
1056425663,0.208336,-0.293273,0.301579,-0.177867,-1.016047,1.513082,-0.082069,1.900914,0.965988,1
1056458997,-0.620978,-0.043714,0.043481,-0.576611,-0.324319,0.724513,0.502463,0.644846,0.919995,1
1056492331,-0.545233,0.759245,-0.149434,-0.80118,0.001129,-0.505236,0.345777,-0.62855,0.339187,1
1056525665,0.035747,0.700429,0.096619,-1.270927,-0.024473,-0.889324,0.46079,-1.387247,-0.059908,1
1056558999,0.176194,0.195045,0.473636,-1.557766,0.034223,-0.53734,0.370515,-1.582097,0.030644,1
1056592333,0.378511,-0.163898,0.106329,-1.467225,0.170837,0.000423,-0.073122,-1.063114,0.264284,1
1056625667,0.640198,-0.27091,0.199946,-1.13879,0.171366,0.301817,-0.515281,-0.338206,0.543195,1
1056659001,0.634919,-0.198842,0.388104,-0.972942,-0.142461,0.39648,-0.31109,-0.422526,0.704574,1
1056692335,0.273858,0.083753,0.097878,-0.777626,-0.518223,0.076039,0.628761,-0.353189,0.374741,1
1056725669,-0.055213,0.457168,0.005747,-0.192892,-0.398932,-0.049767,1.106748,-0.263761,0.207128,1
1056759003,-0.135438,0.278863,0.047891,0.120197,-0.219447,0.052088,1.102334,-0.074061,0.071962,1
1056792337,-0.095454,-0.038972,-0.013002,0.572861,-0.038674,0.230879,0.795553,0.684722,-0.156283,1
1056825671,0.326469,0.069333,0.181902,0.85623,0.18133,0.213012,0.266071,1.168677,-0.258575,1
1056859005,0.480733,0.617878,0.24279,0.633358,0.493833,0.286533,0.132628,0.673984,-0.114638,1
1056892339,0.118172,0.304228,0.07804,0.690659,0.396556,0.324547,0.7878,-0.195637,0.382139,1
1056925673,0.00096,-0.057859,0.042247,0.88103,0.290876,0.060878,1.041426,-0.572494,0.301854,1
1056959007,-0.083385,-0.165067,0.015226,0.636364,0.420649,-0.280376,0.799074,-0.652093,0.092588,1
1056992341,-0.177518,-0.024773,0.033379,0.412284,0.497159,-0.463219,0.360392,-0.496395,-0.131205,1
1057025675,-0.084985,0.234982,0.115908,0.655819,0.577408,-0.599713,0.339429,-0.30058,-0.154774,1
1057059009,0.226398,0.11751,0.098148,0.495073,0.56341,-0.669695,-0.167486,-0.080645,-0.080656,1
1057092343,0.221651,-0.051721,0.068809,0.449816,0.690051,-0.444133,-0.476271,0.135232,-0.072496,1
1057125677,0.083978,-0.096517,0.148609,-0.074948,0.775963,-0.332596,-0.742684,0.338807,0.037034,1
1057159011,0.097425,-0.023965,0.151755,0.195513,0.748052,-0.233236,-0.901634,0.209109,0.27375,1
1057192345,0.165742,0.025688,0.086365,0.012923,0.621237,-0.160534,-0.826166,0.072028,0.392547,1
1057225679,0.02375,0.241803,0.043352,0.03347,0.535829,-0.073455,-0.569415,-0.002826,0.341634,1
1057259013,-0.179014,0.432451,0.160743,-0.042276,0.461143,0.02389,0.172512,-0.119074,0.445823,1
1057292347,-0.433094,0.413594,0.14319,-0.121445,0.192261,0.191681,0.132777,-0.144902,0.295694,1
1057325681,-0.725977,0.497549,-0.030107,-0.249213,-0.011501,0.189734,0.368495,-0.00084,0.222805,1
1057359015,-0.969675,0.512483,-0.092267,-0.358201,-0.095539,0.083347,0.501284,0.169082,0.098057,1
1057392349,-1.069462,0.573163,-0.020543,-0.334258,-0.15927,-0.019807,0.528434,0.237384,0.056566,1
1057425683,-1.129901,0.555838,-0.055063,-0.333786,-0.166691,-0.083332,0.201386,0.314832,-0.084101,1
1057459017,-0.487788,0.321673,0.14016,-0.394481,-0.123288,0.061461,0.031794,0.216961,0.049871,1
1057492351,0.147532,-0.064463,-0.060287,-0.710072,-0.259524,0.15657,0.17782,0.007894,0.145879,1
1057525685,0.76118,-0.352818,0.200459,-0.27823,0.139022,-0.335777,0.162714,-0.14139,0.081329,1
1057559019,1.501464,-0.70943,0.409126,-0.488316,-0.212869,0.129565,0.081778,0.113745,0.075495,1
1057592353,1.618161,-0.7916,0.320178,-0.588643,-0.341818,0.312293,0.11701,0.413799,0.199006,1
