SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
2166055104,0.177851,-0.18407,0.203683,0.134281,-0.033754,0.080448,-0.512523,-2.176523,0.049992,-0.656212,-0.388414,-0.101321,1
2166088438,0.294203,-0.195215,0.015095,-0.011117,-0.05324,0.030118,-0.501198,-2.033005,-0.049839,-0.328535,-0.163072,-0.018309,1
2166121772,0.016516,-0.045247,0.080061,-0.225289,-0.202438,0.052653,-0.4017,-1.696684,-0.114852,-0.132717,-0.006688,0.108915,1
2166155106,-0.202499,-0.205192,0.028789,-0.370619,-0.318367,0.03514,-0.349946,-1.5645,0.050606,-0.054164,0.093629,0.265541,1
2166188440,-0.107641,-0.233764,0.201988,-0.386634,-0.260808,0.183634,-0.278503,-1.467076,0.070618,-0.137066,0.180491,0.372688,1
2166221774,-0.787879,-0.185729,0.034088,-0.441997,-0.182922,0.239927,-0.254418,-1.118454,-0.064908,-0.01586,0.264225,0.368507,1
2166255108,-0.149559,-0.206804,0.045321,-0.454172,-0.13658,0.181433,-0.138678,-0.700888,-0.025241,0.145866,0.30399,0.390932,1
2166288442,-0.046651,-0.02861,-0.009889,-0.41394,-0.153686,0.026928,0.012446,-0.458903,-0.027694,0.194827,0.323396,0.246582,1
2166321776,-0.395542,-0.090183,0.100412,-0.390647,-0.087096,-0.059038,0.089626,-0.088809,-0.083372,0.124886,0.30524,0.088626,1
2166355110,0.14101,-0.046014,-0.072001,-0.288428,0.085937,-0.104716,0.223153,0.298644,-0.112284,0.042655,0.275037,0.071959,1
2166388444,-0.652847,0.097429,0.032351,-0.221946,0.103473,-0.227883,0.300972,0.555053,-0.241093,-0.036974,0.270383,-0.109707,1
2166421778,0.145203,0.363633,0.08276,-0.150396,0.282175,-0.310428,0.283462,0.795205,-0.317526,-0.119902,0.216986,-0.178816,1
2166455112,0.37194,0.716346,0.232097,-0.029577,0.593473,-0.31949,0.186395,0.908857,-0.356705,-0.270157,0.229475,-0.317017,1
2166488446,1.017416,0.876806,0.340905,0.179567,0.97802,0.298465,0.103006,1.214167,-0.023828,-0.47763,0.294752,0.080835,1
2166521780,0.670693,0.595631,0.221674,-0.036116,1.039558,0.84174,0.462859,1.443546,0.382147,-0.473415,0.367849,0.730323,1
2166555114,0.388066,-0.08346,0.305555,-0.286974,0.265841,0.833628,0.794785,1.41912,0.429667,-0.518445,0.506425,0.751902,1
2166588448,0.254083,-0.993093,0.472016,-0.447815,-0.228746,0.306403,1.129929,1.22685,0.190028,-0.490029,0.578024,0.386766,1
2166621782,0.407002,-0.634022,0.206964,-0.51786,-0.07544,-0.112664,1.474,0.901848,-0.057125,-0.190469,0.586327,0.104529,1
2166655116,0.164163,0.066042,0.024563,-0.487461,0.320312,-0.358569,1.582232,0.606308,-0.145276,0.073477,0.491017,-0.040042,1
2166688450,0.024693,0.566918,-0.126655,-0.388598,0.511054,-0.441102,1.300945,-0.059264,-0.051773,0.018182,0.346068,-0.247484,1
2166721784,0.038939,0.765379,-0.031527,-0.204265,0.62797,-0.326407,0.52182,-0.189116,-0.25052,-0.346273,0.271694,-0.299388,1
2166755118,0.109649,0.381639,0.139287,-0.056132,0.684531,0.062798,0.138474,0.184652,-0.431026,-0.489928,0.300567,-0.119192,1
2166788452,0.11038,-0.221442,0.244891,0.033145,0.496365,0.209052,-0.057543,0.316189,-0.284876,-0.524834,0.390748,0.06302,1
2166821786,0.031598,-0.285375,0.165779,0.125633,0.362235,0.233266,-0.33675,0.124039,-0.205048,-0.407914,0.542513,0.105951,1
2166855120,-0.185453,-0.159779,0.169825,0.20339,0.346819,0.298536,-0.521492,-0.03736,-0.195388,-0.147513,0.604292,0.239651,1
2166888454,0.176491,-0.325981,0.17517,0.146273,0.339074,0.370931,-0.535515,-0.216104,-0.219321,0.166985,0.498302,0.422208,1
2166921788,0.313291,-0.390895,0.129687,0.103621,0.116551,0.342825,-0.43244,-0.271447,-0.292226,0.304029,0.349506,0.471728,1
2166955122,0.518284,-0.252578,0.197259,0.151366,0.07924,0.324669,-0.29119,-0.36813,-0.261764,0.128682,0.110723,0.395017,1
2166988456,-0.143536,-0.181248,0.058895,0.2172,0.086499,0.229252,-0.223864,-0.249593,-0.266617,0.056996,-0.0738,0.331662,1
2167021790,-0.079186,0.026393,0.146296,0.328616,0.074037,0.142282,-0.127838,0.062024,-0.215715,0.148389,-0.259761,0.296627,1
2167055124,-0.12039,0.247544,0.066496,0.491232,0.119823,0.132832,-0.015365,0.344155,-0.153816,0.278652,-0.40843,0.234601,1
2167088458,-0.115892,0.089197,0.075068,0.640183,0.151976,0.135486,0.089547,0.55846,-0.119306,0.413505,-0.5216,0.243842,1
2167121792,-0.020166,-0.103406,0.158749,0.786971,0.160736,0.139837,0.202285,0.760699,-0.152875,0.564105,-0.587359,0.248665,1
2167155126,-0.027825,0.018724,0.132564,0.79828,0.124722,0.229502,0.239348,0.875791,-0.155192,0.708884,-0.626931,0.370978,1
2167188460,0.061129,0.153914,0.096972,0.747143,0.184062,0.296721,0.273707,0.877117,-0.162819,0.836587,-0.678383,0.451941,1
2167221794,0.087343,-0.165202,0.160376,0.639256,0.127511,0.30214,0.306822,0.791308,-0.157227,0.97238,-0.601111,0.454929,1
2167255128,0.225927,-0.238528,0.122957,0.424604,0.117549,0.149815,0.438813,0.608206,-0.170964,1.010453,-0.558876,0.427391,1
2167288462,0.065755,-0.141927,0.140255,0.319688,0.11697,0.298423,0.404984,0.310985,-0.157617,0.884551,-0.422294,0.556696,1
2167321796,0.17175,-0.194988,0.113156,0.213349,0.104662,0.297219,0.295161,0.115823,-0.145895,0.895444,-0.357876,0.569447,1
