SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
2111355962,-0.042217,-0.257543,0.200234,-3.990378,5.787937,-1.230589,2.846823,-2.200444,0.265621,0.59705,-0.031311,0.380749,0
2111389296,-0.067249,-0.425044,-0.02576,-4.362006,5.343024,-0.745255,0.337171,0.060711,1.473903,0.571431,0.17698,0.489214,0
2111422630,0.15284,-0.049253,0.446159,-3.753108,5.624002,-1.160023,-0.392656,0.830308,1.37787,-0.620711,0.252411,0.917372,0
2111455964,0.442658,-0.089613,0.503113,-3.290759,5.834655,-1.521844,-0.117476,1.039493,-0.195151,-1.219487,0.445205,1.204345,0
2111489298,0.242546,-0.535946,0.568524,-3.464212,5.427096,-1.535067,0.305326,0.542612,0.08722,-1.828553,0.187345,2.269381,0
2111522632,-0.062025,-0.898449,0.472207,-3.426467,5.391043,-1.46036,0.065807,0.718169,-0.864032,-1.721915,-0.159896,1.296285,0
2111555966,0.510548,-0.744081,0.6286,-3.301462,5.67297,-1.257986,-0.161401,1.115126,-1.871311,-1.19686,0.065771,1.255006,0
2111589300,0.12717,-0.526351,0.459108,-2.738885,6.076703,-1.052116,-0.971529,1.260837,-2.082715,-1.292396,0.349268,2.001081,0
2111622634,1.003756,-0.11324,0.399907,-2.135393,5.849256,-2.761697,2.527061,-0.776719,-0.050883,-0.672131,0.84809,0.713762,0
2111655968,0.595277,-0.281868,0.460537,-3.377189,5.435041,-1.837721,-0.585498,0.674006,-1.650759,-0.754298,-0.084119,0.825562,0
2111689302,-0.208567,-0.067003,0.121655,-2.741285,5.124598,-2.128448,-0.509063,1.928932,-0.22823,-0.096752,0.143336,-0.013245,0
2111722636,-0.026186,0.332982,-0.02065,-2.922167,4.678139,-1.656872,-0.361379,0.980248,-0.000134,0.194122,-0.176322,-0.103647,0
2111755970,-0.761495,0.131265,-0.133451,-2.437567,5.031613,-2.184009,-0.392477,0.659986,2.07979,0.485174,-0.415087,-0.177672,0
2111789304,-0.372555,0.139691,-0.034084,-2.818448,5.465455,-1.820671,0.222457,-0.920305,0.944507,0.395355,-0.636075,-0.276269,0
2111822638,0.075507,0.188097,0.079804,-2.203274,6.815711,-1.438647,0.054154,-1.201767,1.568932,0.826368,-1.13492,-1.061154,0
2111855972,-0.419649,0.727041,0.798538,-3.619054,7.262329,-2.141497,-0.031266,-2.381367,2.992571,1.240299,-1.829087,0.687612,0
2111889306,-0.081404,1.423695,1.870974,-3.026123,7.365274,-1.988676,1.399371,-2.887907,3.612001,1.138608,-2.371803,0.705873,0
2111922640,-1.113624,0.30224,-0.212742,-2.23988,7.416392,-0.447194,0.712904,-0.859792,2.411484,1.315337,-2.18309,-0.894819,0
2111955974,-1.593588,-1.042231,-0.315984,-1.865707,7.15941,0.272676,0.001615,1.040337,1.787069,0.140408,-0.872345,2.368698,0
2111989308,-0.924113,-1.28055,-0.575397,-1.904032,7.040843,-0.342427,-1.143311,1.155569,2.137982,0.23719,2.134917,3.145071,0
2112022642,-0.171114,-0.093252,-0.584469,-2.670309,6.395863,-2.107319,0.132839,-0.262528,2.720289,-0.349527,2.708919,2.658532,0
2112055976,-0.659973,0.585826,-0.283614,-2.506882,5.620612,-3.069418,0.190982,-0.203494,1.266142,-0.723567,1.8765,1.946369,0
2112089310,-0.216093,0.972722,-0.364671,-1.863379,5.014618,-2.803203,-0.227294,0.699823,0.857458,-0.110067,1.592897,1.348545,0
2112122644,0.404534,1.133721,-0.202491,-1.798029,5.077772,-2.840967,0.543421,0.703671,-2.522815,0.006586,1.220237,-0.100118,0
2112155978,0.100216,-0.342535,0.501349,-1.013427,5.50734,-3.14825,-0.506083,-0.14378,-1.315038,-0.244578,0.934916,-0.017278,0
2112189312,1.02301,0.373196,0.198717,-1.308145,6.297705,-2.468132,-0.566245,0.279278,-1.770396,0.34703,0.048498,-0.742451,0
2112222646,0.876713,-0.77654,0.866442,-1.895755,7.268238,-0.699604,-0.902688,0.70185,-3.07852,0.437528,-0.281927,-1.020445,0
2112255980,-0.294421,-1.539921,0.58153,-1.562706,7.757556,-0.920433,-1.320568,1.241003,-0.999555,0.193591,-1.902373,-1.407778,0
2112289314,-0.68378,-0.782535,0.261768,-1.804827,7.314545,-0.127625,-0.138443,1.407998,-0.751139,-0.395938,-0.295157,1.869911,0
2112322648,0.067562,-0.464788,0.513254,-1.9112,7.015079,-1.004303,0.036613,1.338418,2.069272,0.121645,1.228087,3.727324,0
2112355982,0.635404,-0.193756,0.630512,-2.02516,6.586596,-1.554008,-1.113375,1.145095,3.471477,0.284016,1.235511,3.181812,0
2112389316,0.096182,0.169313,0.148677,-1.467129,6.601388,-1.482219,2.153437,-1.990051,3.709803,-0.283076,0.739501,2.814088,0
2112422650,-0.527832,-0.528818,0.025271,-1.291337,6.639623,-1.365611,1.228188,-1.876258,2.003338,0.181975,-0.116689,0.537474,0
2112455984,0.074632,-0.960025,0.058969,-1.429312,6.643823,-1.797899,0.209222,-0.604679,2.376033,-0.138158,-1.010753,-0.361379,0
2112489318,-0.252794,-0.995085,0.074253,-1.265607,6.860008,-1.86125,-0.760117,-0.553028,0.309261,0.608186,-0.883345,-0.88938,0
2112522652,-0.276561,0.25874,-0.116278,-1.165291,6.503331,-1.441983,-0.077617,0.308724,0.285861,0.919352,-1.113974,-1.276869,0
2112555986,0.066815,0.634309,0.092295,-0.827356,6.004698,-2.162412,0.311672,-0.371049,1.182253,0.136094,-1.710706,-0.682497,0
2112589320,0.378218,1.345443,0.274517,-1.260366,6.463786,-1.952688,-0.557295,-0.520249,-0.249426,0.997144,-1.188214,0.02523,0
2112622654,0.450988,1.132804,-0.08279,-1.924806,6.482697,-2.29083,-0.677468,-0.351424,0.457685,1.093256,-0.360138,0.004679,0
2112655988,-0.197755,0.365341,-0.107786,-0.761658,6.379104,-2.047984,0.027274,-0.42411,0.875168,0.277756,0.344956,0.43199,0
2112689322,0.029265,-2.074119,0.132651,-0.7086,6.658175,-1.93115,0.088603,-1.063253,1.009526,-1.296156,0.95452,3.364033,0
2112722656,0.190849,-1.753271,0.185673,-1.127417,6.311716,-1.384356,0.791532,0.719517,1.861062,-2.479335,-1.641518,2.24232,0
2112755990,0.004513,0.333416,0.465093,-0.612614,6.549543,-1.388913,0.213064,1.099323,1.122632,0.149282,0.209547,1.229577,0
2112789324,0.948524,0.271554,0.652879,-0.721076,6.721009,-1.714535,-1.205044,1.227662,-0.182498,1.342625,2.202292,0.497923,0
2112822658,0.845237,0.713304,-0.086638,-0.843024,6.782537,-2.163278,-0.068238,0.387769,-3.309029,1.889685,2.523989,-0.028718,0
2112855992,0.61052,-0.640346,0.219584,-0.394683,6.564049,-2.418357,-1.016015,0.03501,-3.485926,0.102112,1.479061,0.06815,0
2112889326,0.062884,-0.021021,0.1268,-0.024107,6.223734,-2.857302,-0.356275,0.832176,-2.714421,-0.777849,1.196928,0.183213,0
2112922660,-0.04384,0.148236,-0.197568,-0.351674,5.812369,-2.843539,-0.34474,1.013643,-2.038818,-0.510212,0.894583,-0.371325,0
2112955994,0.053623,0.768089,-0.184851,-1.040313,5.656204,-2.527575,-0.361896,1.223122,-1.237351,-0.803785,-0.657257,-0.379673,0
2112989328,0.964697,1.268084,0.198503,-0.133355,5.618174,-3.20334,-1.291945,1.361912,-2.4773,-0.493893,-0.353208,-0.925832,0
2113022662,-0.237593,0.252953,0.088107,0.198628,5.324021,-2.84076,0.586395,0.600512,0.614684,0.228921,-0.332401,-0.357096,0
2113055996,-0.561275,0.12126,-0.354254,-0.252282,4.738581,-2.416936,2.267221,-0.313399,1.000439,0.501257,-0.109887,-0.526506,0
2113089330,0.167578,0.909579,-0.08908,-2.150999,5.530537,-2.807683,0.74596,-0.986071,1.47535,0.561815,-0.511586,-0.815304,0
2113122664,-0.067051,0.399598,0.188448,-0.237379,5.758097,-2.342791,1.638561,-1.687195,1.144603,0.773134,-0.513995,-0.605476,0
2113155998,-0.129655,0.413725,-0.097431,0.171951,6.549507,-2.365338,-0.019527,-1.262157,0.561467,0.42578,-0.755045,-0.689664,0
2113189332,0.53534,0.179166,0.154722,0.011278,6.495251,-2.706541,0.125252,-0.862352,0.351967,-0.245519,-0.742375,-0.404716,0
2113222666,0.224719,-0.170178,0.066246,0.185163,6.175395,-2.31129,-0.342898,-0.301709,0.372962,-0.279528,-1.659891,-1.889873,0
2113256000,0.453228,0.211651,0.038136,0.505715,5.907467,-1.960824,-0.196034,-0.236842,0.423285,-2.554655,-3.553848,-1.031441,0
2113289334,0.477598,-0.479669,0.074108,0.038495,5.948383,-2.195782,0.327743,0.232424,-0.481591,0.033266,-0.888367,0.858688,0
2113322668,-0.200256,0.026767,-0.00526,-0.452775,6.155961,-1.323613,-0.703469,1.186435,-1.629855,3.366569,2.576905,-5.139386,0
2113356002,-0.07457,0.279787,-0.533173,1.401744,6.432282,-2.365321,-0.428404,-1.039128,3.377073,-0.103534,0.173727,-0.042844,0
2113389336,0.386462,-0.056118,0.013657,-0.417494,5.93956,-2.427814,0.637567,-0.239741,0.96325,-0.126451,1.609677,1.713276,0
2113422670,0.468209,-0.673364,0.443213,-0.222098,6.128154,-2.698812,-1.085675,-1.011888,1.406254,-1.427233,0.324288,0.150172,0
2113456004,0.253496,-0.335399,0.230232,1.721568,6.190444,-2.151478,-0.77362,-0.481779,0.392301,-0.755456,0.123161,1.062324,0
2113489338,0.168844,-0.168897,-0.303584,0.454236,6.123043,-2.468556,-0.296628,-0.234595,-1.90512,-0.175908,0.968081,2.643943,0
2113522672,0.688527,-0.123445,0.198279,0.005962,5.843124,-2.912752,0.296912,0.399848,-1.982398,0.32341,1.8647,1.710054,0
2113556006,-0.04442,-0.594991,0.365357,0.266895,5.643007,-2.725736,-0.342606,1.097449,-1.812203,-0.253872,0.368529,1.734888,0
2113589340,0.058724,0.604664,-0.24306,0.265951,5.760142,-2.434356,0.569613,0.66979,-2.316567,-0.626164,0.114367,2.232585,0
2113622674,0.529065,2.503582,-0.100391,0.196245,5.373974,-2.948737,0.622837,0.394818,-1.150329,0.852169,1.659205,-0.53335,0
2113656008,0.027077,1.453227,0.176395,-0.094514,5.513149,-2.336708,0.227441,0.462295,-0.007505,0.818028,0.833205,-0.318836,0
2113689342,0.84717,0.132491,0.063761,0.37898,5.918171,-2.290981,0.125693,0.143718,-1.181755,0.63859,0.079758,-0.567037,0
2113722676,0.38149,-1.387066,0.03823,0.772828,5.946513,-2.542493,-0.426425,0.434209,-0.971689,0.371873,-0.373805,-1.113222,0
2113756010,0.002913,-1.525268,0.08088,0.544218,5.74261,-2.379344,-0.909933,0.502241,0.33792,0.148381,-0.725912,-1.181005,0
2113789344,-0.037758,-1.659752,0.050303,0.526015,5.547262,-2.563803,-0.265875,-0.146551,0.651204,0.156617,-0.813125,-1.581105,0
2113822678,0.154763,-1.320504,-0.016525,0.793402,5.578672,-2.564259,0.921447,-1.248963,0.639993,0.119269,-0.730897,-2.031648,0
2113856012,0.278815,-0.345044,0.013229,0.675104,5.720551,-2.372202,1.332712,-1.373737,0.855295,0.200543,-0.870863,-2.411233,0
2113889346,0.053174,0.741918,0.277434,0.636931,5.945394,-2.251254,0.04635,-0.54132,0.845267,-0.285926,-1.070886,-1.614361,0
2113922680,-0.165579,0.864895,-0.104209,1.169028,6.192078,-1.923621,-1.075311,0.071376,0.169398,0.016503,-0.873577,-1.00623,0
2113956014,0.145691,0.48796,-0.152266,1.616,6.168929,-2.26347,-0.902806,-0.111373,0.041358,-0.271829,-0.69449,-0.524846,0
2113989348,0.255095,0.382417,-0.00915,1.83818,5.865417,-2.219389,-0.239623,-0.536894,-0.444982,-0.162372,-0.268835,-0.442336,0
2114022682,0.15907,-0.056215,-0.033049,0.94433,5.620738,-2.2685,0.341811,-0.16836,-0.520993,0.56194,0.419127,-0.145474,0
2114056016,0.186698,-0.72391,0.010899,0.691666,5.58584,-2.715039,0.426779,0.096789,-0.939335,0.015553,-0.03751,-0.696074,0
2114089350,0.582732,-0.3571,-0.07679,1.063177,5.323696,-2.31925,-0.540129,0.743164,-1.479242,0.042455,-0.069515,0.325317,0
2114122684,0.253309,0.370824,-0.144937,1.178557,5.075508,-2.478873,0.281495,0.409288,-3.124496,0.122871,0.153455,0.203526,0
2114156018,-0.464468,0.318432,-0.060045,1.284364,4.828994,-2.732517,0.393291,0.640625,-0.867444,-0.53059,0.112212,0.585379,0
2114189352,-0.517485,-0.157469,-0.16907,0.641798,5.207898,-2.167308,-0.011557,0.99267,-1.421653,0.186263,1.235267,0.510056,0
2114222686,-0.104742,0.128811,0.121036,1.007745,5.738238,-1.754748,-0.879898,0.798791,-2.038461,0.287021,1.38291,-0.153963,0
2114256020,-0.522935,0.120157,0.281359,1.798934,5.858539,-1.616022,-0.253047,0.588657,-0.262079,0.393479,1.18877,-0.137462,0
2114289354,-1.507144,-0.178698,0.641981,1.650032,5.799534,-1.923339,-0.528515,0.23531,-0.390561,0.032471,0.435916,0.647096,0
2114322688,-2.563896,-0.491094,0.922332,1.828606,5.397947,-1.842712,-0.496008,-0.171004,0.465594,-0.075808,-0.244984,0.011194,0
2114356022,-1.989354,-0.631174,0.176212,2.179055,5.261205,-1.901264,-0.45151,-0.351969,-0.330027,0.06676,-0.281001,-0.60435,0
2114389356,0.061314,-0.134521,0.059803,2.134185,5.51199,-2.404189,-1.581226,0.141142,-0.622054,0.580135,0.143076,-2.577853,0
2114422690,0.838115,0.861379,0.406985,2.019836,5.374259,-2.797096,-1.993778,1.0655,-1.419023,0.76127,-0.184774,-2.022508,0
2114456024,0.909535,1.23978,0.036514,2.646971,4.934168,-2.456572,-2.05303,0.293658,-0.357317,1.978684,-0.355357,0.077405,0
2114489358,0.650925,0.83848,-0.043433,2.772194,4.842712,-2.095199,-2.13309,0.201966,0.042405,3.002221,-0.667129,-0.07961,0
2114522692,0.185455,0.301807,0.062178,2.923319,4.982429,-1.638108,-1.019602,-0.085076,-0.255645,1.434386,-0.709981,0.557391,0
2114556026,-0.539432,-0.259096,0.265927,2.38163,5.134626,-1.520369,-1.180021,-0.059365,0.693605,0.853857,-1.568828,-1.657853,0
2114589360,-1.140888,-0.573885,0.200178,2.363392,5.030908,-1.430928,-0.798665,0.426429,-0.039236,0.312168,-1.428599,-0.292387,0
2114622694,-0.555157,-0.486347,0.166743,2.270643,4.709754,-1.227473,-1.940542,1.371288,0.18531,2.636229,1.046399,-0.901551,0
2114656028,0.375814,0.178473,0.07133,2.663208,4.304223,-1.245265,-0.378998,1.015237,0.833864,2.530183,0.596653,-1.041859,0
2114689362,0.471797,0.614023,0.144666,2.837183,3.879102,-0.44796,-0.511244,0.701502,-0.542765,2.801869,-0.532129,-1.12024,0
2114722696,0.360814,-0.117035,0.331649,2.368042,4.695317,-1.710866,-0.604385,0.738761,0.214764,2.445189,-0.345293,-0.362694,0
2114756030,0.211893,-0.214533,0.100432,2.061859,5.424022,-2.687469,-0.834302,0.489461,-0.645049,2.256092,0.075295,-0.919477,0
2114789364,-0.005079,-0.195025,0.080825,2.104627,5.707561,-1.069994,-0.290013,1.182576,-0.442877,0.886584,-0.290893,-0.624137,0
2114822698,-0.287767,0.228027,0.091539,2.577445,5.541953,-1.024302,1.23975,0.930172,0.022382,-1.074783,-0.163777,1.225159,0
2114856032,-0.275674,0.507729,0.181222,1.803189,5.589191,-0.974779,0.960578,0.907155,-0.118363,-1.375387,-0.560965,1.290906,0
