SampleTimeFine,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
174560865,-0.000488,-0.15048,0.020923,-0.474099,-0.691931,1.247389,1.708013,0.329099,-0.131334,0
174594199,-0.388072,-0.284705,0.224216,-1.514583,0.186556,-0.470083,1.300954,-0.347394,-1.669489,0
174627533,-0.290804,-0.352612,-0.017305,-0.577753,0.475124,1.251435,1.056461,0.053925,-0.36981,0
174660867,0.257272,0.004822,0.047455,1.076731,0.042296,-0.898794,-0.476023,4.854606,0.806698,0
174694201,0.12741,0.021356,0.185156,-0.309602,1.117105,-1.579265,-2.415189,4.017632,-0.182685,0
174727535,0.090514,0.06364,0.104686,-1.794056,1.719891,-2.129004,-2.797063,2.034044,0.694617,0
174760869,0.178768,0.829401,1.052917,-1.735872,2.212992,-2.229275,-2.450863,1.255064,1.028217,0
174794203,0.503317,0.926578,1.549909,1.105653,1.158128,-0.531529,-1.85829,0.058538,2.702737,0
174827537,-0.29421,0.057895,0.469157,-1.161275,1.244779,0.605154,-1.165674,-0.392535,2.096714,0
174860871,-1.427467,0.432376,0.712287,1.058777,0.618901,-1.583982,-0.005378,-1.107827,1.572223,0
174894205,-0.032265,0.991328,-0.060603,1.518893,-0.123861,0.161415,1.267743,-1.730567,0.775421,0
174927539,0.327254,0.934426,-0.275167,1.732608,-1.813222,1.897387,1.480473,-1.82555,0.390764,0
174960873,-0.171712,0.072055,0.239037,1.044284,-1.96478,2.422636,1.841138,-1.900016,-0.611433,0
174994207,0.044258,-0.552957,0.632844,0.279551,-1.754984,0.880712,2.019135,-1.32993,-0.598568,0
175027541,-0.383395,-0.462476,1.118348,-1.137426,-1.354689,2.053376,1.938729,-0.400127,0.108267,0
175060875,-0.420274,-0.38001,1.273932,-0.897695,-0.689556,0.329364,1.787799,0.802324,0.966017,0
175094209,-0.086636,-0.194364,1.120089,-1.099867,0.957621,1.003629,1.160924,0.19757,1.323927,0
175127543,0.297733,-0.083358,0.30987,-0.493977,1.818407,0.917342,1.608167,-1.963921,-0.162362,0
175160877,0.895839,0.461364,-0.09022,1.050486,0.047103,1.495204,0.229435,2.510992,-0.780241,0
175194211,0.161807,0.414622,-0.051375,0.802235,0.167343,0.447812,-1.088732,4.252898,-1.292806,0
175227545,0.329953,0.434654,0.956966,-1.396057,0.809636,-0.91149,-1.734933,2.066199,1.04908,0
175260879,-1.267636,-0.024467,1.161232,-0.175036,-0.287712,-0.669203,-1.97461,1.114452,1.915388,0
175294213,-0.093018,-0.004612,0.600285,-0.759276,0.173211,1.238771,-1.438503,0.275863,1.510242,0
