SampleTimeFine,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1632573523,-0.166306,-0.322902,0.47602,0.24564,-0.465906,-0.042686,0.089394,-0.506276,0.685402,1
1632606857,-0.118679,-0.3536,0.271237,0.317751,-0.499919,-0.142924,0.021367,-0.090745,0.425314,1
1632640191,0.01627,-0.35695,0.112615,0.440013,-0.560906,-0.188986,-0.562022,-0.093023,-0.161101,1
1632673525,0.030614,-0.310263,-0.032532,0.447686,-0.575306,-0.184498,-0.788562,0.019657,-0.314147,1
1632706859,-0.028735,-0.136211,-0.048327,0.379235,-0.541088,-0.127446,-0.491994,0.090562,-0.139504,1
1632740193,-0.099597,-0.255285,0.054324,0.33594,-0.542284,-0.073015,-0.638523,0.229905,-0.219409,1
1632773527,-0.247222,-0.381098,-0.010676,0.309603,-0.578009,-0.033598,-0.620865,0.141511,-0.150249,1
1632806861,-0.222222,-0.260512,-0.036156,0.107499,-0.466795,-0.020641,-0.401248,-0.190878,-0.040235,1
1632840195,-0.047543,-0.258562,0.111449,-0.002601,-0.323585,0.0866,-0.548151,-0.340183,-0.074862,1
1632873529,-0.041766,-0.243574,-0.009667,-0.16059,-0.18214,0.197874,-0.118841,-0.204906,0.226733,1
1632906863,-0.013468,-0.175677,0.086257,-0.221628,-0.051003,0.104305,0.072956,-0.305236,0.150296,1
1632940197,0.03951,-0.210544,0.109746,-0.27169,0.196055,0.015443,0.115921,-0.264013,0.08233,1
1632973531,-0.096657,-0.2386,0.087004,-0.270236,0.382764,-0.084276,0.34571,-0.137714,0.240009,1
1633006865,-0.055077,-0.263349,0.128202,-0.199329,0.589787,-0.081351,0.35735,-0.2058,0.329773,1
1633040199,-0.104445,-0.334023,0.107609,-0.090338,0.63669,-0.138543,0.434728,-0.223311,0.295815,1
1633073533,-0.054791,-0.414168,0.025406,0.027891,0.599339,-0.106359,0.577601,-0.233651,0.2002,1
1633106867,0.079456,-0.413465,0.018588,0.107988,0.46044,0.015848,0.623985,-0.219292,0.106506,1
1633140201,0.164917,-0.407675,0.033477,0.192961,0.278779,0.14384,0.469463,-0.315116,0.04091,1
1633173535,0.105358,-0.417157,0.042057,0.173818,0.166729,0.211236,0.362629,-0.382464,0.099989,1
1633206869,-0.071049,-0.459258,0.002336,0.166138,0.020463,0.25351,0.303123,-0.376128,0.108222,1
1633240203,-0.207659,-0.475231,-0.081974,0.103644,-0.095405,0.32558,0.273046,-0.400706,0.040582,1
1633273537,-0.277012,-0.481253,-0.159293,0.017257,-0.170153,0.306267,0.247327,-0.457026,-0.062208,1
1633306871,-0.268228,-0.478034,-0.173388,-0.155147,-0.170391,0.282295,0.172144,-0.450279,-0.160472,1
1633340205,-0.187943,-0.345373,-0.09271,-0.241286,-0.122862,0.426758,0.098638,-0.462328,-0.126706,1
1633373539,-0.261125,-0.367358,-0.062481,-0.297375,-0.013578,0.365455,0.120705,-0.250122,-0.102537,1
1633406873,-0.312134,-0.425373,-0.024483,-0.293635,0.023214,0.216018,-0.004121,-0.157654,-0.084703,1
1633440207,-0.487965,-0.494766,-0.053861,-0.085913,-0.049788,0.158401,-0.191674,-0.203177,-0.112676,1
1633473541,-0.593401,-0.395665,0.037238,-0.034207,-0.126891,0.124381,-0.49399,-0.488477,0.040955,1
1633506875,-0.925458,-0.361826,0.193984,0.136955,-0.393876,0.072827,-0.365514,-0.864436,0.612632,1
1633540209,-1.396542,-0.56121,0.342533,0.192491,-0.650945,0.065467,0.557475,0.030516,1.379287,1
1633573543,-1.208681,-0.797916,0.613734,0.265856,-0.87691,-0.203636,-1.569037,-0.401178,0.191268,1
1633606877,-0.255518,-0.095655,0.417541,0.19023,-1.050187,-0.418761,-2.873477,-1.029664,-0.830294,1
1633640211,-0.839449,-0.236726,0.13148,0.072686,-1.286226,-0.322415,-1.91613,-0.114441,-0.051152,1
1633673545,-2.028327,-0.26758,0.296193,-0.127407,-1.517464,-0.021424,-1.514435,0.293248,0.648704,1
1633706879,-1.712298,0.251359,0.86355,-0.464805,-1.909674,0.431402,-1.67609,0.27106,1.62211,1
1633740213,-1.286795,0.437081,0.628532,-0.266733,-2.183884,0.445941,-2.301228,-0.765016,1.220073,1
1633773547,-1.068753,0.090397,-0.952895,0.18395,-2.177578,-1.14572,-1.424862,-0.257598,-0.528309,1
1633806881,-0.640399,-0.194733,-1.718013,0.554948,-2.066519,-1.963706,-0.489009,-0.205705,-1.344365,1
1633840215,0.25115,0.469257,-0.950628,0.427045,-1.404984,-1.314709,-0.178334,-0.499774,-1.045589,1
1633873549,1.204295,0.824124,0.286921,0.379133,-0.412817,-0.160902,0.440842,0.18254,-0.248528,1
1633906883,1.685794,0.799882,0.83027,-0.624891,4.529909,-0.150307,0.968712,1.293228,0.354275,1
1633940217,1.739791,0.864116,0.833632,0.295418,4.264017,1.609603,1.444413,1.179235,0.587474,1
1633973551,1.527918,0.529714,0.743234,1.672468,3.987425,2.764832,2.212988,0.810742,0.819677,1
1634006885,1.01178,-0.199972,0.398991,1.474566,3.333182,1.832106,2.056088,1.122773,0.580057,1
1634040219,0.486453,-0.232103,-0.185507,0.652146,1.807096,0.401565,1.348496,0.82034,0.116107,1
1634073553,0.783828,0.044011,-0.717579,0.038543,0.775889,-0.62533,0.932792,-0.366648,-0.150361,1
1634106887,0.889607,0.048523,-0.593976,-0.263075,-0.021368,-1.332153,1.005185,-0.26356,-0.422412,1
1634140221,1.199228,0.211672,-0.136839,-0.578956,-0.181973,-1.452207,1.063387,0.073798,-0.372673,1
1634173555,1.317817,0.453844,0.239671,-0.656047,-0.157265,-1.093966,0.536039,-0.17329,-0.050434,1
1634206889,0.952932,0.1732,0.512879,-0.559871,-0.046281,-0.59852,0.38934,-0.146535,0.381693,1
1634240223,0.490868,-0.160569,0.531003,-0.14366,-0.022333,-0.049886,1.095719,0.259492,0.917171,1
1634273557,0.505349,-0.250536,0.439676,0.045952,0.797828,0.097928,1.204534,0.160848,0.977098,1
